assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,0,0,0,98770,None,,0,0,0,0,0.0,460,17,None,,0,1,0.0,0.0,0,Ørjan,0.0,0,0,0.0,488,43,35,False,0.0,481,43,0,Contract terminated on 5/10,2020-10-05T21:00:11.316167Z,40,0,0,None,0,,98770.jpg,0.0,0,0,Nyland,4.7,False,None,u,2,7,0.0,437,12,0,145134,0,849507,1188,0.0,0.0,Nyland,0
0,0,0,100,100,0,108156,None,,0,0,-1,1,0.0,526,212,None,,0,2,0.0,0.5,0,Bjorn,0.0,0,0,0.0,549,212,36,False,0.0,542,212,0,,2020-11-19T11:00:18.103635Z,44,0,0,None,0,,108156.jpg,0.0,0,0,Engels,0.1,False,None,a,2,7,0.0,513,205,0,11332,17,18407,7,0.0,0.0,Engels,0
10,11,411,None,None,9,114283,3,,0,0,7,-7,779.6,3,3,4,,2,3,3.4,3.9,0,Jack,3.4,18,5,207.1,2,2,37,True,541.4,7,4,1527,,None,77,0,0,2,0,,114283.jpg,6.2,0,0,Grealish,37.4,False,None,a,2,7,752.0,10,4,105,4697434,11233,2785790,19435,0.4,13.6,Grealish,4
5,2,223,None,None,8,122806,6,,0,0,0,0,279.3,51,37,None,,0,3,1.0,1.5,0,John,1.0,18,1,67.8,79,46,38,False,242.6,144,54,1440,,None,55,0,0,None,0,,122806.jpg,3.6,0,0,McGinn,1.2,False,None,a,2,7,157.0,118,65,57,319495,79,287013,1491,0.2,10.4,McGinn,5
0,3,89,0,0,3,123354,None,,0,0,-1,1,1.5,416,162,None,,1,2,0.0,0.0,0,Kortney,0.4,1,1,14.2,339,119,39,False,91.0,292,113,360,Foot injury - Expected back 06 Feb,2021-01-26T11:00:18.448973Z,44,0,0,None,0,,123354.jpg,7.0,0,0,Hause,0.5,False,None,i,2,7,49.0,270,84,28,80192,2,49845,2658,0.1,6.4,Hause,1
1,0,73,100,100,4,148508,None,,0,0,-3,3,121.9,164,100,None,,0,3,0.2,0.7,0,Mahmoud Ahmed,0.2,10,0,57.7,109,59,40,False,113.8,266,112,725,,2020-12-15T11:30:19.909046Z,52,0,0,None,0,,148508.jpg,2.6,0,0,Ibrahim Hassan,0.5,False,None,a,2,7,343.0,46,23,26,57920,37,129564,53,0.0,5.0,Trézéguet,0
1,5,304,100,100,8,149484,None,,0,0,4,-4,62.3,230,55,None,,2,2,1.6,2.1,0,Tyrone,1.6,17,2,57.0,113,26,41,False,362.0,53,15,1394,,2020-12-26T17:00:15.486559Z,54,0,0,None,0,,149484.jpg,4.3,1,0,Mings,8.5,False,None,a,2,7,143.0,135,23,69,1415468,926,1012711,3537,0.3,12.8,Mings,3
2,5,338,None,None,10,169359,None,,0,0,2,-2,209.5,79,16,6,,2,2,4.2,4.7,0,Matt,4.2,16,0,53.0,141,36,42,False,255.2,131,52,1514,,None,47,0,0,None,0,,169359.jpg,4.4,0,0,Targett,5.8,False,None,a,2,7,63.0,238,68,74,704097,7826,341641,1896,0.9,15.7,Targett,4
0,0,0,0,0,0,184386,None,,0,0,0,0,0.0,548,216,None,,0,2,0.0,0.0,0,James,0.0,0,0,0.0,566,216,43,False,0.0,560,216,0,Joined Luton Town on a permanent deal on 1/9,2020-09-02T09:00:10.425295Z,45,0,0,None,0,,184386.jpg,0.0,0,0,Bree,0.0,False,None,u,2,7,0.0,537,210,0,9840,0,10300,0,0.0,0.0,Bree,0
0,0,30,None,None,2,184704,None,,0,0,-2,2,16.8,343,173,None,,0,3,0.6,1.1,0,Marvelous,0.6,0,0,4.9,404,180,44,False,23.2,394,169,194,,None,43,0,0,None,0,,184704.jpg,1.6,0,0,Nakamba,0.7,False,None,a,2,7,8.0,376,178,8,79871,135,77438,719,0.1,1.9,Nakamba,1
0,6,164,None,None,3,193488,5,,0,0,-2,2,156.3,126,85,3,,1,3,2.2,2.7,0,Anwar,2.2,5,5,80.1,60,34,45,False,253.2,134,49,510,,None,58,0,0,1,0,,193488.jpg,4.5,0,0,El Ghazi,3.1,False,None,a,2,7,390.0,38,20,49,504336,199,288819,16857,0.4,8.4,El Ghazi,1
0,6,268,100,100,6,199798,None,,0,0,2,-2,5.0,395,150,None,,1,2,2.4,2.9,0,Ezri,2.4,18,2,41.8,192,55,46,False,295.6,100,37,1305,,2020-12-17T18:30:14.260503Z,47,0,0,None,0,,199798.jpg,4.1,0,0,Konsa Ngoyo,5.4,False,None,a,2,7,115.0,165,33,62,1064460,712,763421,2432,0.5,13.2,Konsa,1
0,0,0,100,100,0,203368,None,,0,0,-2,2,0.0,510,206,None,,0,2,0.0,0.5,0,Frédéric,0.0,0,0,0.0,534,206,47,False,0.0,527,206,0,,2020-11-19T11:00:18.118134Z,43,0,0,None,0,,203368.jpg,0.0,0,0,Guilbert,0.1,False,None,a,2,7,0.0,494,196,0,1996,11,9167,14,0.0,0.0,Guilbert,0
0,0,0,0,0,0,213345,None,,0,0,0,0,0.0,640,82,None,,0,4,0.0,0.0,0,Wesley,0.0,0,0,0.0,640,82,48,False,0.0,639,81,0,Knee injury - Unknown return date,2020-08-15T10:00:11.458856Z,60,0,0,None,0,,213345.jpg,0.0,0,0,Moraes,0.0,False,None,i,2,7,0.0,640,82,0,1018,9,1427,7,0.0,0.0,Wesley,0
0,0,0,0,0,0,217487,None,,0,0,-1,1,0.0,638,81,None,,0,4,0.0,0.0,0,Mbwana,0.0,0,0,0.0,639,81,49,False,0.0,638,80,0,Joined Fenerbahce on a permanent deal on 25/9,2020-09-25T09:00:10.072147Z,59,0,0,None,0,,217487.jpg,0.0,0,0,Samatta,0.0,False,None,u,2,7,0.0,638,81,0,1633,0,8381,3,0.0,0.0,Samatta,0
0,0,12,100,100,0,221239,None,,0,0,-2,2,14.6,350,48,None,,0,4,0.4,0.9,0,Keinan,0.4,0,0,7.2,377,48,50,False,4.6,442,53,47,,2020-11-24T23:00:18.514322Z,43,0,0,None,0,,221239.jpg,1.0,0,0,Davis,9.3,False,None,a,2,7,54.0,254,48,4,975967,5647,1353457,4628,0.1,0.9,Davis,0
0,0,0,0,0,0,223349,None,,0,0,-2,2,0.0,514,63,None,,0,4,0.0,0.0,0,Indiana,0.0,0,0,0.0,538,64,51,False,0.0,531,59,0,Joined Burton Albion on loan until the end of the season on 17/9. - Expected back 01 Jul,2020-09-17T16:30:17.739025Z,43,0,0,None,0,,223349.jpg,0.0,0,0,Vassilev,0.6,False,None,u,2,7,0.0,499,63,0,63562,0,154472,201,0.0,0.0,Vassilev,0
